tweet_id,company,date,username,text,replies,reposts,likes,bookmarks,views,comment_count,total_engagement,main_sentiment,avg_comment_sentiment
1906767774351077666,apple,2025-04-10,theapplehub,these are the new emoji available today with ios which one is your favorite,272,632,5851,353,444663,246,7108,0.34545454545454546,0.04213878651378652
1906886073839743256,apple,2025-04-10,theapplehub,ios will reportedly support these iphone models the iphone xs iphone xs max and iphone xr will not be supported,470,2721,18298,1165,1315882,177,22654,0.0,0.11645370097074642
1907100695549059510,apple,2025-04-10,theapplehub,today apple has introduced a new sky blue color for the iphone pro and iphone pro max you can order the new color on april th and will be available on april th now make sure to check the alttext on the image,255,702,7465,458,536964,231,8880,0.2595454545454546,0.09615212539157136
1908894708929348082,apple,2025-04-10,theapplehub,the iphone pro will reportedly not feature a particularly bold new look the front will be quite similar to the pro however the back will feature a new larger camera design source,154,312,4094,297,320408,239,4857,0.101010101010101,0.047357118807118806
1908903287568347542,apple,2025-04-10,theapplehub,apple is reportedly working on a major th anniversary redesign for the iphone pro alongside a foldable iphone the new design will make a more extensive use of glass source,117,161,2861,206,200418,209,3345,0.13977272727272727,0.08663663648999545
1909525124652712408,apple,2025-04-10,theapplehub,this is allegedly our first look at the new ios design do you like the new design source,465,552,6982,668,442656,300,8667,0.10568181818181818,-0.0346402701292157
1909615214754250808,apple,2025-04-10,theapplehub,the iphone pro models will reportedly feature the ability to record front and rearfacing video at the same time the feature is expected to be exclusive to the iphone pro models source,168,294,4461,263,267152,313,5186,-0.05,0.1012854958531867
1909653502126965241,apple,2025-04-10,theapplehub,is your iphones battery life better or worse with ios,578,231,5498,207,490230,414,6514,0.04999999999999999,-0.01851516158299695
1909687808060711266,apple,2025-04-10,theapplehub,president trump believes apple could manufacture iphones in the us according to press secretary karoline leavitt should apple manufacture iphones in the us,354,204,2638,144,307307,425,3340,0.0,0.09644162118320897
1897050446113747118,apple,2025-04-11,theapplehub,old vs new,396,518,8725,339,584400,394,9978,0.11818181818181818,0.09034106610539731
1897287137604817350,apple,2025-04-11,theapplehub,apple has launched the new m macbook air with a new sky blue color now starting at you can order today and will be available on march,128,960,9251,569,545442,115,10908,0.13454545454545455,0.07975957064202559
1897297936473841895,apple,2025-04-11,theapplehub,apple has officially discontinued the m and m macbook air,72,222,4196,144,290097,53,4634,0.0,0.0802123273551845
1899137596342915423,apple,2025-04-11,theapplehub,its going to be a big year for the iphone,333,320,5597,297,461539,444,6547,0.0,-0.04958879697533673
1899324377222754798,apple,2025-04-11,theapplehub,ios will reportedly introduce the biggest design change since ios source,293,599,8295,400,531180,442,9587,0.0,0.08657145800910236
